date,globalid__,nama_p,route_number,nama_n,last_edited_date1,pole,tinggi_tiang,pemilikan,road_location,join_count,cam_fix,lat,section_number,arm_using,nam_daerah,created_user,camera_type,road_area,radio_wire,tujuan,tnb_box,connection_method,kod_par,pemaju,speaker,name,closed_circuit_television_type,daerah,cam_ptz,status,remark2,identification_number,hotspot,perunding,created_date1,remark,long,closed_circuit_television_suppo,kod_negeri,target_fid,nam_par,direction,kod_daerah,kontraktor,custodian,cam_anpr,closed_circuit_television_usage,kod_dun,last_edited_user,fasa_projek,nam_dun,id_cctv,jumlah_camera1,objectid,geometry_x,geometry_y
,{D29A9574-92B4-4469-8E3D-994E90B01AF6},NIBONG TEBAL,,SUNGAI ACHEH,,EXISTING (MBSP),,,JALAN PERSEKUTUAN / JALAN PERMATANG TOK MAHAT,1,2,5.148656,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S001,,,,REPLACE CAMERA,100.471144,,07,1,P.047 - NIBONG TEBAL,,03,,3,,,N.21,,,N.21 - SUNGAI ACHEH,30001,3,1,100.47114400038255,5.148656000287867
,{D4D21674-32DC-4FAA-B663-A53CBE3E1A93},NIBONG TEBAL,,SUNGAI ACHEH,,EXISTING (MBSP),,,JALAN TRANSKRIAN/TAMAN PEKAKA,1,2,5.141033,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S002,,,,REPLACE CAMERA,100.491575,,07,2,P.047 - NIBONG TEBAL,,03,,3,,,N.21,,,N.21 - SUNGAI ACHEH,30002,3,2,100.49157499965679,5.141033000227119
,{EAC3A067-C997-4843-AB9D-55AEAB4D7FFE},NIBONG TEBAL,,SUNGAI ACHEH,,NEW POLE,,,JALAN TRANSKRIAN / BUKIT PANCHOR,1,2,5.14905,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S003,,,,INSTALL NEW CAMERA,100.48615,,07,3,P.047 - NIBONG TEBAL,,03,,3,,,N.21,,,N.21 - SUNGAI ACHEH,30003,3,3,100.48614999957634,5.149050000394206
,{6A468748-413E-432C-8913-35CAC5CCA35F},NIBONG TEBAL,,JAWI,,EXISTING (KPKT),,,SIMPANG JALAN ATAS /JALAN SERINDIT PEKAN NIBONG TEBAL,1,3,5.16593,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S004,,,,REPLACE CAMERA,100.47652,,07,4,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30004,4,4,100.47652000018353,5.165929999944838
,{9894CD27-3838-437F-B035-D9AE867E8694},NIBONG TEBAL,,JAWI,,EXISTING (MBSP),,,"JALAN SERINDIT, TMN SENTOSA  ( BELAKANG KOMPLEKS MAKANAN )",1,3,5.16682,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S005,,,,REPLACE CAMERA,100.47522,,07,5,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30005,4,5,100.47522000040829,5.166820000382804
,{D02A0D9F-CEBD-4420-8698-1C1D2B629DA1},NIBONG TEBAL,,JAWI,,NEW POLE,,,JALAN TEKUKUR INDAH,1,2,5.17389,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S006,,,,INSTALL NEW CAMERA,100.46838,,07,6,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30006,3,6,100.46837999990503,5.173890000019066
,{36F629BF-0FEE-4194-A5EA-C5CBDB7E9D0C},NIBONG TEBAL,,JAWI,,EXISTING (MBSP),,,"JALAN OOI KAR SENG/JALAN ATAS , NIBONG TEBAL",1,2,5.16714,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S007,,,,REPLACE CAMERA,100.47724,,07,7,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30007,3,7,100.47723999968628,5.167139999842239
,{FEE8866D-B2C7-4C5F-BA3D-753CADDFCE84},NIBONG TEBAL,,JAWI,,EXISTING (KPKT),,,"SIMPANG JALAN ATAS/JALAN HOOI SOO, PEKAN NIBONG TEBAL ( HADAPAN MAYBANK)",1,2,5.16864,,,SEBERANG PERAI SELATAN,,,MBSP,,,,WIRELESS,P.047,,,,,SPS,1,1,,S008,,,,REPLACE CAMERA,100.47804,,07,8,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30008,3,8,100.4780399995689,5.168639999721521
,{0D6A7F0A-7B38-4D37-8948-C567265DD0E5},NIBONG TEBAL,,JAWI,,EXISTING (MBSP),,,JALAN SG DAUN (HADAPAN SMK METHODIST),1,3,5.17013,,,SEBERANG PERAI SELATAN,,,MBSP,,,,WIRELESS,P.047,,,,,SPS,1,1,,S009,,,,REPLACE CAMERA,100.47848,,07,9,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30009,4,9,100.47847999990249,5.170129999762845
,{D38C6B91-86C5-4BD8-8DC1-B9C51468E116},NIBONG TEBAL,,JAWI,,NEW POLE,,,JALAN BUKIT PANCHOR 1 / JALAN INDUSTRI 2,1,2,5.17475,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,NEARBY GAS PIPELINE GAS,S010,,,,INSTALL NEW CAMERA,100.48923,,07,10,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30010,3,10,100.48923000011474,5.174749999827908
,{06CCAF8B-FDBB-4557-90BF-3CFCFD883D0B},NIBONG TEBAL,,JAWI,,NEW POLE,,,JALAN NIBONG TEBAL/JALAN BUKIT PANCHOR 1,1,3,5.17881,,,SEBERANG PERAI SELATAN,,,MBSP,,,,WIRELESS,P.047,,,,,SPS,1,1,,S011,,,,INSTALL NEW CAMERA,100.48327,,07,11,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30011,4,11,100.48327000036551,5.178810000012556
,{A1997DA2-4B5D-4F26-AA28-6D08B4B91DDF},NIBONG TEBAL,,JAWI,,NEW POLE,,,LALUAN KELUAR MASUK LEBUHRAYA JAWI,1,3,5.18733,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S012,,,,INSTALL NEW CAMERA,100.48757,,07,12,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30012,4,12,100.4875699996529,5.187330000345474
,{F260BB9D-C362-4A80-945B-4F8742F7F51A},NIBONG TEBAL,,JAWI,,NEW POLE,,,JALAN SUNGAI BAKAP/JALAN SERINDIT ,1,3,5.19816,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S013,,,,INSTALL NEW CAMERA,100.49374,,07,13,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30013,4,13,100.49373999963352,5.198160000110214
,{B037AD9B-04E5-4616-883E-8CE83EEED16A},NIBONG TEBAL,,JAWI,,EXISTING (MBSP),,,JALAN PERSEKUTUAN/JALAN KERIAN KEDAH ( PASARAYA ECONSAVE),1,3,5.20233,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S014,,,,REPLACE CAMERA,100.49634,,07,14,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30014,4,14,100.496339999642,5.202329999972574
,{BB8CCEF4-ACC8-4DC4-9492-E5026ABF4025},NIBONG TEBAL,,SUNGAI BAKAP,,NEW POLE,,,JALAN CHANGKAT/JALAN SUNGAI BAKAP,1,3,5.20586,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S015,,,,INSTALL NEW CAMERA,100.49781,,07,15,P.047 - NIBONG TEBAL,,03,,3,,,N.20,,,N.20 - SUNGAI BAKAP,30015,4,15,100.49780999957218,5.205859999670116
,{8ACD5363-FC6D-40B3-AF70-09BF9518805E},NIBONG TEBAL,,JAWI,,NEW POLE,,,SIMPANG TIGA SG BAJAP BERHAMPIRAN SK SG BAKAP,1,3,5.21434,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S016,,,,INSTALL NEW CAMERA,100.49682,,07,16,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30016,4,16,100.49682000031848,5.214340000142297
,{53469C7E-6094-41CC-83B9-80072AAF3747},NIBONG TEBAL,,JAWI,,NEW POLE,,,JALAN SUNGAI BAKAP,1,2,5.22177,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S017,,,,INSTALL NEW CAMERA,100.49467,,07,17,P.047 - NIBONG TEBAL,,03,,3,,,N.19,,,N.19 - JAWI,30017,3,17,100.49467000017773,5.221770000362561
,{DA74D230-BC35-4EA5-B1F9-77CBD7E913D2},BATU KAWAN,,BUKIT TAMBUN,,EXISTING (MBSP),,,"JALAN PERSEKUTUAN/JALAN GAMELAN INDAH, SUNGAI BAKAP",1,2,5.22876,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.046,,,,,SPS,1,1,,S018,,,,REPLACE CAMERA,100.49287,,07,18,P.046 - BATU KAWAN,,03,,3,,,N.18,,,N.18 - BUKIT TAMBUN,30018,3,18,100.49286999959882,5.228759999819434
,{5650CEC3-68B0-420C-9097-D88E767D8A85},BATU KAWAN,,BUKIT TAMBUN,,EXISTING (KPKT),,,"JALAN SUSUR, SUNGAI BAKAP",1,1,5.23318,,,SEBERANG PERAI SELATAN,,,MBSP,,,,WIRELESS,P.046,,,,,SPS,1,1,,S019,,,,REPLACE CAMERA,100.49106,,07,19,P.046 - BATU KAWAN,,03,,3,,,N.18,,,N.18 - BUKIT TAMBUN,30019,2,19,100.49106000033501,5.2331800001775965
,{3D0375E8-6960-40B7-A9C3-125ACD4040F1},BATU KAWAN,,BUKIT TAMBUN,,NEW POLE,,,JALAN VALDOR / JALAN SUNGAI BAKAP,1,3,5.23634,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.046,,,,,SPS,1,1,,S020,,,,INSTALL NEW CAMERA,100.48954,,07,20,P.046 - BATU KAWAN,,03,,3,,,N.18,,,N.18 - BUKIT TAMBUN,30020,4,20,100.48953999981636,5.236339999653324
,{09BAD6CE-DE34-4EEF-ACE2-23DBC1903006},NIBONG TEBAL,,SUNGAI BAKAP,,NEW POLE,,,JALAN PEKAN TASEK/JALAN JUNJUNG,1,2,5.28454,,2,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,MUST USING 2 ARM BARRIER ,S021,,,,INSTALL NEW CAMERA,100.52117,,07,21,P.047 - NIBONG TEBAL,,03,,3,,,N.20,,,N.20 - SUNGAI BAKAP,30021,3,21,100.52117000042496,5.284539999786479
,{81D1F002-52A3-47F7-A0ED-422707434221},NIBONG TEBAL,,SUNGAI BAKAP,,NEW POLE,,,SIMPANG TIGA JALAN TASEK/JALAN CHE HUSSEIN,1,2,5.28477,,,SEBERANG PERAI SELATAN,,,JKR,,,,WIRELESS,P.047,,,,,SPS,1,1,,S022,,,,INSTALL NEW CAMERA,100.50622,,07,22,P.047 - NIBONG TEBAL,,03,,3,,,N.20,,,N.20 - SUNGAI BAKAP,30022,3,22,100.5062199998399,5.284770000332057
