no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
10,LEBUH FARQUHAR,SEK. 14,,GEORGE TOWN,"EASTERN & ORIENTAL HOTEL, 10, LEBUH FARQUHAR, GEORGETOWN, 10200 GEORGETOWN PULAU PINANG",,2,100.33597287,07,46,"5.423470610721827, 100.33597286891687",2,,P.049 - TANJONG,5.42347061,0,04,1,2,40001,1767052800000,DTL GEORGE TOWN SEK. 14,,N.26,PIXELBYTE SDN BHD,070444014,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,EASTERN & ORIENTAL HOTEL,LA 12/1/16/130 (D-EVCS),DTL,TIMOR LAUT,22,16/6/2023 - 15/6/2033,1,0,100.33597286900005,5.4234706110000275
15,JALAN ANSON,SEK. 16,,GEORGE TOWN,"BANGUNAN KOMERSIL AUTO BAVARIA PENANG,15, JALAN ANSON, 10400 GEORGETOWN PULAU PINANG",,3,100.32487223,07,65,"5.4210293200924005, 100.32487223163088",2,,P.049 - TANJONG,5.42102932,1,04,1,2,40002,1767052800000,DTL GEORGE TOWN SEK. 16,"Exact LC: 5.4209580226182, 100.3250647821259",N.26,KINETA SDN. BHD,070444016,3,P.049,,PULAU PINANG,N.26 - PADANG KOTA,BANGUNAN KOMERSIL AUTO BAVARIA PENANG,LA 12/1/16/94 (D-EVCS),DTL,TIMOR LAUT,38,11/7/2023 - 10/7/2033,2,1,100.32487223200008,5.421029320000059
,GURNEU DR,SEK. 1,,GEORGE TOWN,"BANGUNAN KOMERSIL HYUNDAI PENANG CITY STORE, L1.18 GROUND FLOOR, GURNEU DR, 10250 GEORGETOWN  PULAU PINANG",,1,100.31096958,07,76,"5.4350955514310595, 100.31096958055876",1,,P.048 - BUKIT BENDERA,5.43509555,0,04,1,1,40003,1767052800000,DTL GEORGE TOWN SEK. 1,,N.25,KINETA SDN. BHD,070444001,1,P.048,L1.18 GROUND FLOOR,PULAU PINANG,N.25 - PULAU TIKUS,BANGUNAN KOMERSIL HYUNDAI PENANG CITY STORE,LA 12/1/16/100 (D-EVCS),DTL,TIMOR LAUT,22,11/7/2023 - 10/7/2033,3,0,100.31096958100005,5.4350955510000745
NO.3,JALAN SUNGAI PINANG,SEK. 9(w),,GEORGE TOWN,"NO.3, JALAN SUNGAI PINANG, TAMAN LITA, 10150 GEORGETOWN PULAU PINANG",,1,100.32280087,07,77,"5.4015741808726965, 100.32280086521523",1,TAMAN LITA,P.050 - JELUTONG,5.40157418,0,04,1,1,40004,1767052800000,DTL GEORGE TOWN SEK. 9(w),"More accurate LC: 5.401951117924516, 100.32332293692214",N.30,KINETA SDN. BHD,070444025,1,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,AUTO BAVARIA SUNGAI PINANG,LA 12/1/16/95 (D-EVCS),DTL,TIMOR LAUT,22,6/7/2023 - 7/7/2033,4,0,100.32280086500003,5.401574181000058
,JALAN BARU, ,,MUKIM 1,"BANGUNAN KOMERSIL PORSCHE CENTRE PENANG, LOT 6985, JALAN BARU, MUKIM 1 KAMPUNG JAWA, SEBERANG PERAI, 13700 PERAI PULAU PINANG",,4,100.40718111,07,85,"5.375076454476257, 100.40718111124492",2,KAMPUNG JAWA,P.044 - PERMATANG PAUH,5.37507645,4,01,1,2,10001,1767052800000,SPT MUKIM 1,,N.10,SIME DARBY AUTO PERFORMANCE SDN BHD,070101000,6,P.044,LOT 6985,PULAU PINANG,N.10 - SEBERANG JAYA,BANGUNAN KOMERSIL PORSCHE CENTRE PENANG,LA 12/1/16/51 (D-EVCS),SPT,SEBERANG PERAI TENGAH,394,11/7/2023 - 10/7/2033,5,2,100.40718111100006,5.375076454000066
,JALAN KAMPUNG BARU, ,,MUKIM 15,"PANGSAPURI SERI JAYA, JALAN KAMPUNG BARU, TAMAN SERI JAYA BUKIT MERTAJAM,  14000 BUKIT MERTAJAM PULAU PINANG",,2,100.47283194,07,137,"5.350034572411059, 100.47283193822982",2,TAMAN SERI JAYA BUKIT MERTAJAM,P.045 - BUKIT MERTAJAM,5.35003457,0,01,1,2,10002,1767052800000,SPT MUKIM 15,,N.13,CHARGEHERE EV SOLUTION SDN BHD,070115000,2,P.045,,PULAU PINANG,N.13 - BERAPIT,PANGSAPURI SERI JAYA JALAN KAMPUNG BARU,LA 12/1/16/216 (D-EVCS),SPT,SEBERANG PERAI TENGAH,22,25/10/2023 - 24/10/2033,6,0,100.47283193800007,5.350034572000027
1874,LORONG IKS BUKIT TENGAH, ,,MUKIM 11,"TEMPAT LETAK KERETA, AUDI JURU 4S, 1874, LORONG IKS BUKIT TENGAH, TAMAN IKS, BUKIT TENGAH MUKIM 11 , 14000 SEBERANG PERAI TENGAH PULAU PINANG",,1,100.43482938,07,150,"5.336855041222335, 100.4348293805581",0,TAMAN IKS,P.046 - BATU KAWAN,5.33685504,2,01,1,0,10004,1767052800000,SPT MUKIM 11,,N.17,GOH BROTHERS MOTOR SDN. BHD.,070111000,2,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,TEMPAT LETAK KERETA  AUDI JURU 4S,LA 12/1/16/197 (D-EVCS),SPT,SEBERANG PERAI TENGAH,180,24/10/2023 - 23/10/2033,7,1,100.43482938100004,5.336855041000035
" 28A,",JALAN DESIRAN TANJUNG 4,SEK. 1,,TANJONG TOKONG,"MARINOX SKY VILLAS, 28A, JALAN DESIRAN TANJUNG 4, SERI TANJUNG PINANG, 10470 TANJUNG TOKONG PULAU PINANG",,3,100.31004827,07,172,"5.454611599636634, 100.31004826521553",0,,P.048 - BUKIT BENDERA,5.4546116,3,04,1,0,40005,1767052800000,DTL TANJONG TOKONG SEK. 1,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070447001,3,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,MARINOX SKY VILLAS,LA 12/1/16/229 (D-EVCS),DTL,TIMOR LAUT,66,21/11/2023 - 20/11/2033,8,3,100.31004826500003,5.454611600000021
,LORONG ABU SITI ,SEK. 16,,GEORGE TOWN,"CARPARK GROUND FLOOR, LOT 103, CHOO PLAZA, LORONG ABU SITI GEORGETOWN TIMOR LAUT, 10400 GEORGETOWN PULAU PINANG",,1,100.32375077,07,205,"5.417984354218417, 100.32375077141181",1,,P.049 - TANJONG,5.41798435,0,04,1,1,40006,1767052800000,DTL GEORGE TOWN SEK. 16,,N.26,HANDAL GREEN MOBILITY SDN. BHD.,070444016,1,P.049,CARPARK GROUND FLOOR,PULAU PINANG,N.26 - PADANG KOTA,"LOT 103, CHOO PLAZA",LA 12/1/16/258 (D-EVCS),DTL,TIMOR LAUT,120,5/12/2023 - 4/12/2033,9,0,100.32375077100005,5.417984354000055
11,JALAN TELUK BAHANG, ,,MUKIM 2,"ANGSANA TELUK BAHANG 11, JALAN TELUK BAHANG, 11050 TELUK BAHANG PULAU PINANG",,3,100.21929717,07,228,"5.461725341666678, 100.21929716931346",2,,P.053 - BALIK PULAU,5.46172534,2,05,1,2,50001,1767052800000,DBD MUKIM 2,,N.40,CHARGEHERE EV SOLUTION SDN BHD,070502000,4,P.053,,PULAU PINANG,N.40 - TELOK BAHANG,ANGSANA TELUK BAHANG ,LA 12/1/16/416 (D-EVCS),DBD,BARAT DAYA,62,19/2/2024 - 18/2/2034,10,1,100.21929716900007,5.4617253420000225
